Time,Activity,Value
19.66666667,Watching television,30.8
19.66666667,Entertainment and leisure,21.1
19.66666667,Education and study,1.2
19.66666667,Other,1.4
19.83333333,Sleep and rest,2.2
19.83333333,Personal care,15.5
19.83333333,Paid work,5
19.83333333,Travel,3.5
19.83333333,Unpaid household work,12.2
19.83333333,Unpaid care,5.1
19.83333333,Watching television,32.4
19.83333333,Entertainment and leisure,21.1
19.83333333,Education and study,1.4
19.83333333,Other,1.5
20,Sleep and rest,2.7
20,Personal care,14.1
20,Paid work,4.1
20,Travel,3.6
20,Unpaid household work,11.1
20,Unpaid care,4.4
20,Watching television,38.1
20,Entertainment and leisure,19
20,Education and study,1.4
20,Other,1.6
20.16666667,Sleep and rest,2.8
20.16666667,Personal care,12.8
20.16666667,Paid work,3.9
20.16666667,Travel,2.8
20.16666667,Unpaid household work,10.8
20.16666667,Unpaid care,4.2
20.16666667,Watching television,39.7
20.16666667,Entertainment and leisure,19.8
20.16666667,Education and study,1.5
20.16666667,Other,1.8
20.33333333,Sleep and rest,3.2
20.33333333,Personal care,12.1
20.33333333,Paid work,4
20.33333333,Travel,2.3
20.33333333,Unpaid household work,9.7
20.33333333,Unpaid care,3.9
20.33333333,Watching television,41.1
20.33333333,Entertainment and leisure,20.6
20.33333333,Education and study,1.3
20.33333333,Other,1.9
20.5,Sleep and rest,3.9
20.5,Personal care,10.8
20.5,Paid work,3.7
20.5,Travel,2.2
20.5,Unpaid household work,9.1
20.5,Unpaid care,3.1
20.5,Watching television,42.9
20.5,Entertainment and leisure,20.7
20.5,Education and study,1.2
20.5,Other,2.4
20.66666667,Sleep and rest,4.2
20.66666667,Personal care,10.4
20.66666667,Paid work,3.6
20.66666667,Travel,1.7
20.66666667,Unpaid household work,8.5
20.66666667,Unpaid care,2.8
20.66666667,Watching television,44
20.66666667,Entertainment and leisure,21.1
20.66666667,Education and study,1.2
20.66666667,Other,2.4
20.83333333,Sleep and rest,5
20.83333333,Personal care,9.4
20.83333333,Paid work,3.5
20.83333333,Travel,2.3
20.83333333,Unpaid household work,8.1
20.83333333,Unpaid care,2.6
20.83333333,Watching television,44.6
20.83333333,Entertainment and leisure,20.9
20.83333333,Education and study,1.2
20.83333333,Other,2.5
21,Sleep and rest,8
21,Personal care,9.6
21,Paid work,3
21,Travel,2.7
21,Unpaid household work,6.9
21,Unpaid care,2.4
21,Watching television,42.6
21,Entertainment and leisure,20.9
21,Education and study,1.1
21,Other,2.6
21.16666667,Sleep and rest,8.9
21.16666667,Personal care,9.9
21.16666667,Paid work,2.8
21.16666667,Travel,2
21.16666667,Unpaid household work,6.1
21.16666667,Unpaid care,2.4
21.16666667,Watching television,43.7
21.16666667,Entertainment and leisure,20.5
21.16666667,Education and study,1
21.16666667,Other,2.7
21.33333333,Sleep and rest,9.9
21.33333333,Personal care,9.2
21.33333333,Paid work,2.7
21.33333333,Travel,1.6
21.33333333,Unpaid household work,5.7
21.33333333,Unpaid care,2.1
21.33333333,Watching television,43.6
21.33333333,Entertainment and leisure,21.2
21.33333333,Education and study,1
21.33333333,Other,3
21.5,Sleep and rest,12.6
21.5,Personal care,10
21.5,Paid work,2.7
21.5,Travel,1.9
21.5,Unpaid household work,3.8
21.5,Unpaid care,1.8
21.5,Watching television,42.3
21.5,Entertainment and leisure,21.1
21.5,Education and study,0.9
21.5,Other,2.7
21.66666667,Sleep and rest,14.5
21.66666667,Personal care,9.2
21.66666667,Paid work,2.8
21.66666667,Travel,2.2
21.66666667,Unpaid household work,3.5
21.66666667,Unpaid care,1.8
21.66666667,Watching television,41.1
21.66666667,Entertainment and leisure,21.8
21.66666667,Education and study,0.8
21.66666667,Other,2.3
21.83333333,Sleep and rest,15.8
21.83333333,Personal care,8.7
21.83333333,Paid work,2.8
21.83333333,Travel,1.9
21.83333333,Unpaid household work,4.1
21.83333333,Unpaid care,1.2
21.83333333,Watching television,40.5
21.83333333,Entertainment and leisure,21.7
21.83333333,Education and study,0.6
21.83333333,Other,2.5
22,Sleep and rest,27.6
22,Personal care,9.7
22,Paid work,2.1
22,Travel,2.3
22,Unpaid household work,3.8
22,Unpaid care,1.1
22,Watching television,31.4
22,Entertainment and leisure,19
22,Education and study,0.2
22,Other,2.7
22.16666667,Sleep and rest,31.4
22.16666667,Personal care,7.9
22.16666667,Paid work,2.1
22.16666667,Travel,2.2
22.16666667,Unpaid household work,3.5
22.16666667,Unpaid care,1.2
22.16666667,Watching television,29.7
22.16666667,Entertainment and leisure,19.2
22.16666667,Education and study,0.2
22.16666667,Other,2.7
22.33333333,Sleep and rest,35.3
22.33333333,Personal care,7
22.33333333,Paid work,2
22.33333333,Travel,2.3
22.33333333,Unpaid household work,2.6
22.33333333,Unpaid care,1.1
22.33333333,Watching television,27.3
22.33333333,Entertainment and leisure,19.1
22.33333333,Education and study,0.4
22.33333333,Other,3
22.5,Sleep and rest,43.9
22.5,Personal care,7.7
22.5,Paid work,1.6
22.5,Travel,2.1
22.5,Unpaid household work,2.9
22.5,Unpaid care,1.1
22.5,Watching television,20.5
22.5,Entertainment and leisure,16.9
22.5,Education and study,0.6
22.5,Other,2.7
22.66666667,Sleep and rest,48
22.66666667,Personal care,6.8
22.66666667,Paid work,1.6
22.66666667,Travel,1.8
22.66666667,Unpaid household work,2.9
22.66666667,Unpaid care,0.9
22.66666667,Watching television,18.5
22.66666667,Entertainment and leisure,16.3
22.66666667,Education and study,0.7
22.66666667,Other,2.7
22.83333333,Sleep and rest,52.2
22.83333333,Personal care,6
22.83333333,Paid work,1.6
22.83333333,Travel,1.2
22.83333333,Unpaid household work,2.5
22.83333333,Unpaid care,0.9
22.83333333,Watching television,17.1
22.83333333,Entertainment and leisure,15.2
22.83333333,Education and study,0.6
22.83333333,Other,2.5
23,Sleep and rest,64.5
23,Personal care,5.3
23,Paid work,1.4
23,Travel,1.4
23,Unpaid household work,2.1
23,Unpaid care,0.4
23,Watching television,11.1
23,Entertainment and leisure,10.9
23,Education and study,0.6
23,Other,2.3
23.16666667,Sleep and rest,68.1
23.16666667,Personal care,4.3
23.16666667,Paid work,1.4
23.16666667,Travel,1.5
23.16666667,Unpaid household work,1.9
23.16666667,Unpaid care,0.4
23.16666667,Watching television,9.8
23.16666667,Entertainment and leisure,9.7
23.16666667,Education and study,0.6
23.16666667,Other,2.2
23.33333333,Sleep and rest,71.4
23.33333333,Personal care,3.8
23.33333333,Paid work,1.4
23.33333333,Travel,1.2
23.33333333,Unpaid household work,2
23.33333333,Unpaid care,0.4
23.33333333,Watching television,8.7
23.33333333,Entertainment and leisure,8.3
23.33333333,Education and study,0.5
23.33333333,Other,2.3
23.5,Sleep and rest,77.8
23.5,Personal care,3.2
23.5,Paid work,1.3
23.5,Travel,0.8
23.5,Unpaid household work,1.3
23.5,Unpaid care,0.4
23.5,Watching television,6.6
23.5,Entertainment and leisure,6.2
23.5,Education and study,0.4
23.5,Other,2
23.66666667,Sleep and rest,80.4
23.66666667,Personal care,2
23.66666667,Paid work,1.3
23.66666667,Travel,0.8
23.66666667,Unpaid household work,1.1
23.66666667,Unpaid care,0.3
23.66666667,Watching television,5.7
23.66666667,Entertainment and leisure,6.1
23.66666667,Education and study,0.3
23.66666667,Other,2
23.83333333,Sleep and rest,82.2
23.83333333,Personal care,1.4
23.83333333,Paid work,1.3
23.83333333,Travel,0.7
23.83333333,Unpaid household work,1.2
23.83333333,Unpaid care,0.3
23.83333333,Watching television,5
23.83333333,Entertainment and leisure,5.6
23.83333333,Education and study,0.3
23.83333333,Other,2
0,Sleep and rest,87
0,Personal care,1.5
0,Paid work,1
0,Travel,0.3
0,Unpaid household work,0.6
0,Unpaid care,0.2
0,Watching television,2.9
0,Entertainment and leisure,4.2
0,Education and study,0.2
0,Other,2.2
0.166666667,Sleep and rest,88.4
0.166666667,Personal care,1.2
0.166666667,Paid work,0.9
0.166666667,Travel,0.3
0.166666667,Unpaid household work,0.4
0.166666667,Unpaid care,0.3
0.166666667,Watching television,2.4
0.166666667,Entertainment and leisure,3.7
0.166666667,Education and study,0.2
0.166666667,Other,2.2
0.333333333,Sleep and rest,89.7
0.333333333,Personal care,1.1
0.333333333,Paid work,0.9
0.333333333,Travel,0.2
0.333333333,Unpaid household work,0.5
0.333333333,Unpaid care,0.2
0.333333333,Watching television,2.2
0.333333333,Entertainment and leisure,3
0.333333333,Education and study,0.2
0.333333333,Other,2
0.5,Sleep and rest,90.8
0.5,Personal care,1.1
0.5,Paid work,1
0.5,Travel,0.2
0.5,Unpaid household work,0.3
0.5,Unpaid care,0.2
0.5,Watching television,1.6
0.5,Entertainment and leisure,2.7
0.5,Education and study,0.2
0.5,Other,1.9
0.666666667,Sleep and rest,91.9
0.666666667,Personal care,0.8
0.666666667,Paid work,1
0.666666667,Travel,0.1
0.666666667,Unpaid household work,0.3
0.666666667,Unpaid care,0.2
0.666666667,Watching television,1.5
0.666666667,Entertainment and leisure,2.4
0.666666667,Education and study,0.1
0.666666667,Other,1.8
0.833333333,Sleep and rest,92
0.833333333,Personal care,0.8
0.833333333,Paid work,1
0.833333333,Travel,0.2
0.833333333,Unpaid household work,0.3
0.833333333,Unpaid care,0.2
0.833333333,Watching television,1.5
0.833333333,Entertainment and leisure,2.2
0.833333333,Education and study,0.1
0.833333333,Other,1.8
1,Sleep and rest,93.1
1,Personal care,0.6
1,Paid work,1
1,Travel,0.2
1,Unpaid household work,0
1,Unpaid care,0.3
1,Watching television,1.2
1,Entertainment and leisure,1.8
1,Education and study,0
1,Other,1.6
1.166666667,Sleep and rest,93.4
1.166666667,Personal care,0.5
1.166666667,Paid work,1
1.166666667,Travel,0.2
1.166666667,Unpaid household work,0.1
1.166666667,Unpaid care,0.2
1.166666667,Watching television,1.2
1.166666667,Entertainment and leisure,1.8
1.166666667,Education and study,0
1.166666667,Other,1.7
1.333333333,Sleep and rest,93.5
1.333333333,Personal care,0.4
1.333333333,Paid work,1
1.333333333,Travel,0.2
1.333333333,Unpaid household work,0.1
1.333333333,Unpaid care,0.1
1.333333333,Watching television,1
1.333333333,Entertainment and leisure,2
1.333333333,Education and study,0
1.333333333,Other,1.7
1.5,Sleep and rest,94
1.5,Personal care,0.4
1.5,Paid work,1.1
1.5,Travel,0
1.5,Unpaid household work,0
1.5,Unpaid care,0.1
1.5,Watching television,1
1.5,Entertainment and leisure,1.7
1.5,Education and study,0
1.5,Other,1.7
1.666666667,Sleep and rest,94.1
1.666666667,Personal care,0.4
1.666666667,Paid work,1
1.666666667,Travel,0
1.666666667,Unpaid household work,0
1.666666667,Unpaid care,0.1
1.666666667,Watching television,1
1.666666667,Entertainment and leisure,1.6
1.666666667,Education and study,0
1.666666667,Other,1.7
1.833333333,Sleep and rest,94.3
1.833333333,Personal care,0.4
1.833333333,Paid work,1
1.833333333,Travel,0
1.833333333,Unpaid household work,0.1
1.833333333,Unpaid care,0.1
1.833333333,Watching television,1
1.833333333,Entertainment and leisure,1.5
1.833333333,Education and study,0
1.833333333,Other,1.6
2,Sleep and rest,95
2,Personal care,0.2
2,Paid work,0.9
2,Travel,0.1
2,Unpaid household work,0.1
2,Unpaid care,0.2
2,Watching television,0.7
2,Entertainment and leisure,1.1
2,Education and study,0
2,Other,1.7
2.166666667,Sleep and rest,94.9
2.166666667,Personal care,0.4
2.166666667,Paid work,0.9
2.166666667,Travel,0.1
2.166666667,Unpaid household work,0.1
2.166666667,Unpaid care,0.2
2.166666667,Watching television,0.6
2.166666667,Entertainment and leisure,1.1
2.166666667,Education and study,0
2.166666667,Other,1.7
2.333333333,Sleep and rest,95.2
2.333333333,Personal care,0.3
2.333333333,Paid work,0.9
2.333333333,Travel,0.1
2.333333333,Unpaid household work,0.1
2.333333333,Unpaid care,0.1
2.333333333,Watching television,0.6
2.333333333,Entertainment and leisure,1
2.333333333,Education and study,0
2.333333333,Other,1.7
2.5,Sleep and rest,95.9
2.5,Personal care,0.3
2.5,Paid work,0.9
2.5,Travel,0.1
2.5,Unpaid household work,0.1
2.5,Unpaid care,0.1
2.5,Watching television,0.4
2.5,Entertainment and leisure,0.6
2.5,Education and study,0
2.5,Other,1.6
2.666666667,Sleep and rest,95.8
2.666666667,Personal care,0.4
2.666666667,Paid work,0.9
2.666666667,Travel,0
2.666666667,Unpaid household work,0.1
2.666666667,Unpaid care,0.1
2.666666667,Watching television,0.4
2.666666667,Entertainment and leisure,0.6
2.666666667,Education and study,0
2.666666667,Other,1.6
2.833333333,Sleep and rest,95.8
2.833333333,Personal care,0.3
2.833333333,Paid work,0.9
2.833333333,Travel,0
2.833333333,Unpaid household work,0.1
2.833333333,Unpaid care,0.1
2.833333333,Watching television,0.4
2.833333333,Entertainment and leisure,0.6
2.833333333,Education and study,0
2.833333333,Other,1.7
3,Sleep and rest,95.9
3,Personal care,0.3
3,Paid work,0.9
3,Travel,0
3,Unpaid household work,0.2
3,Unpaid care,0.1
3,Watching television,0.3
3,Entertainment and leisure,0.5
3,Education and study,0
3,Other,1.8
3.166666667,Sleep and rest,95.9
3.166666667,Personal care,0.3
3.166666667,Paid work,0.8
3.166666667,Travel,0.1
3.166666667,Unpaid household work,0.2
3.166666667,Unpaid care,0.1
3.166666667,Watching television,0.3
3.166666667,Entertainment and leisure,0.4
3.166666667,Education and study,0
3.166666667,Other,1.8
3.333333333,Sleep and rest,95.6
3.333333333,Personal care,0.6
3.333333333,Paid work,0.8
3.333333333,Travel,0
3.333333333,Unpaid household work,0.3
3.333333333,Unpaid care,0.2
3.333333333,Watching television,0.3
3.333333333,Entertainment and leisure,0.3
3.333333333,Education and study,0
3.333333333,Other,1.8
3.5,Sleep and rest,95.3
3.5,Personal care,0.7
3.5,Paid work,0.8
3.5,Travel,0
3.5,Unpaid household work,0.3
3.5,Unpaid care,0.3
3.5,Watching television,0.2
3.5,Entertainment and leisure,0.4
3.5,Education and study,0
3.5,Other,2
3.666666667,Sleep and rest,95
3.666666667,Personal care,0.7
3.666666667,Paid work,0.8
3.666666667,Travel,0
3.666666667,Unpaid household work,0.3
3.666666667,Unpaid care,0.3
3.666666667,Watching television,0.2
3.666666667,Entertainment and leisure,0.6
3.666666667,Education and study,0
3.666666667,Other,2
3.833333333,Sleep and rest,94.8
3.833333333,Personal care,0.9
3.833333333,Paid work,0.8
3.833333333,Travel,0
3.833333333,Unpaid household work,0.4
3.833333333,Unpaid care,0.2
3.833333333,Watching television,0.2
3.833333333,Entertainment and leisure,0.6
3.833333333,Education and study,0
3.833333333,Other,2
